,GFP5-1 Sum,GFP5-2 Sum,GFP9-1 Sum,GFP9-2 Sum,O2.9-1 Sum,O2.9-2 Sum,O2.10-1 Sum
Emd,699.868,201.806,840.08,366.363,978.64,1162.53,1218.03
Esrra,468.777,295.708,388.768,311.286,379.731,429.364,372.642
Gtpbp1,1624.67,1067.65,1895.5,1436.61,2162.84,2373.58,2921.08
Alyref,513.592,512.743,608.907,509.442,537.466,579.068,576.337
Pten,684.028,664.788,639.559,654.843,866.291,827.603,944.206
Stxbp1,2970.76,2509.03,2644.48,2371.64,2564.19,2731.79,2291.79
Mknk1,242.075,208.71,232.23,227.667,170.873,150.626,170.978
Mlx,109.766,147.337,114.539,133.638,108.394,103.795,112.992
Map3k4,1763.82,1786.56,1700.53,1693.3,1327.9,1359.21,1275.98
Metap2,3649.98,4110.15,2848.84,3080.52,3180.03,3009.91,3250.99
Bcl7c,529.436,572.253,515.206,587.688,532.072,546.307,455.541
Sema3a,96.4778,104.216,136.937,115.808,124.724,144.015,131.45
Capn5,69.189,62.9926,53.3533,54.4636,119.387,114.28,108.453
Prdx6,2612.11,2727.38,2852.05,2793.9,2741.92,2940.15,3355.63
Akap1,1031.55,715.152,1011.33,826.079,1247.75,1232.03,1806.89
Bak1,664.425,519.34,671.419,542.796,460.235,529.18,741.769
Casp12,343.154,343.184,377.829,373.334,968.616,931.159,878.5
Casp6,808.911,831.795,898.282,898.549,638.76,701.037,932.246
Ampd3,997.596,797.635,958.628,852.036,1335.58,1332.4,1411.64
Polr2j,74.6664,89.2706,97.6178,99.3308,81.2541,84.5399,69.2846
Matn2,22.2492,15.5163,18.8421,20.6869,28.5517,33.7929,35.9655
Dld,1157.26,1281.16,1534.02,1488.19,1424.51,1396.78,1827.19
Nfil3,108.243,129.864,99.7975,109.467,89.809,86.6567,82.3495
Tcof1,4275.32,4609.61,4229.56,4572.44,6018.43,5757.21,3712.24
Clock,194.751,201.609,265.797,225.146,172.418,167.461,177.793
